epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,115.055,0.40649,0.29686,0.8875,0.99668,1,0.995,0.91968,0.42945,0.24282,0.87232,0.000649046,0.000649046,0.000649046
44,117.855,0.36203,0.27311,0.86744,0.9957,1,0.995,0.91317,0.42979,0.2527,0.87113,0.000638047,0.000638047,0.000638047
45,120.537,0.37549,0.27181,0.87375,0.99585,1,0.995,0.9273,0.41384,0.24252,0.86617,0.000627048,0.000627048,0.000627048
46,123.052,0.37943,0.27273,0.8586,0.99559,1,0.995,0.92076,0.41721,0.25057,0.86922,0.000616049,0.000616049,0.000616049
47,125.554,0.36096,0.26661,0.86278,0.99598,1,0.995,0.92753,0.40898,0.2485,0.85757,0.000605051,0.000605051,0.000605051
48,128.337,0.38017,0.28207,0.87454,0.99566,1,0.995,0.91789,0.42728,0.24937,0.86398,0.000594052,0.000594052,0.000594052
49,130.946,0.37869,0.26952,0.87842,0.99522,1,0.995,0.93156,0.39561,0.23187,0.85037,0.000583053,0.000583053,0.000583053
50,133.46,0.34759,0.24913,0.87214,0.99621,1,0.995,0.92293,0.43602,0.25693,0.86583,0.000572054,0.000572054,0.000572054
51,136.184,0.36841,0.26747,0.8576,0.99624,1,0.995,0.92925,0.4041,0.2332,0.85062,0.000561055,0.000561055,0.000561055
52,138.618,0.38471,0.26869,0.87465,0.99695,1,0.995,0.90754,0.4443,0.23612,0.87341,0.000550056,0.000550056,0.000550056
53,141.504,0.35247,0.25121,0.86847,0.99315,0.99303,0.995,0.92444,0.38852,0.22715,0.85029,0.000539057,0.000539057,0.000539057
54,144.091,0.35419,0.25295,0.86153,0.98793,0.99855,0.995,0.92077,0.40816,0.22321,0.85881,0.000528058,0.000528058,0.000528058
55,146.726,0.34382,0.24903,0.85603,0.99684,1,0.995,0.93103,0.41727,0.23986,0.86586,0.000517059,0.000517059,0.000517059
56,149.235,0.36755,0.25494,0.87878,0.99698,1,0.995,0.92702,0.41247,0.22919,0.86825,0.00050606,0.00050606,0.00050606
57,152.062,0.34859,0.24356,0.86977,0.9903,0.99836,0.995,0.91977,0.41371,0.22775,0.86479,0.000495062,0.000495062,0.000495062
58,154.548,0.3378,0.24807,0.8593,0.99482,1,0.995,0.93663,0.38826,0.21811,0.84499,0.000484063,0.000484063,0.000484063
59,157.183,0.35339,0.24341,0.87976,0.99768,1,0.995,0.9351,0.39059,0.2117,0.85216,0.000473064,0.000473064,0.000473064
60,159.813,0.33654,0.23689,0.87072,0.99386,1,0.995,0.94191,0.37387,0.21516,0.84237,0.000462065,0.000462065,0.000462065
61,162.9,0.32669,0.24233,0.84524,0.9959,1,0.995,0.9259,0.41395,0.2357,0.86201,0.000451066,0.000451066,0.000451066
62,165.51,0.34427,0.24477,0.86924,0.99661,1,0.995,0.92808,0.41562,0.23076,0.85861,0.000440067,0.000440067,0.000440067
63,168.111,0.31781,0.22828,0.84546,0.99624,1,0.995,0.93226,0.38888,0.22199,0.85114,0.000429068,0.000429068,0.000429068
64,171.021,0.30597,0.21986,0.85418,0.99682,1,0.995,0.93732,0.38087,0.21666,0.84058,0.000418069,0.000418069,0.000418069
65,173.542,0.32152,0.23743,0.85864,0.99715,1,0.995,0.93168,0.39093,0.21238,0.84436,0.00040707,0.00040707,0.00040707
66,176.211,0.31957,0.23004,0.86358,0.99674,1,0.995,0.93648,0.38391,0.21525,0.84707,0.000396071,0.000396071,0.000396071
67,178.972,0.32381,0.23404,0.85198,0.99629,1,0.995,0.92534,0.41299,0.22525,0.8706,0.000385073,0.000385073,0.000385073
68,181.819,0.31212,0.23701,0.84304,0.99364,0.9981,0.995,0.93711,0.39124,0.21749,0.85748,0.000374074,0.000374074,0.000374074
69,184.433,0.32346,0.24279,0.8566,0.99676,1,0.995,0.94165,0.3757,0.20666,0.84424,0.000363075,0.000363075,0.000363075
70,186.988,0.30597,0.21999,0.85738,0.99674,1,0.995,0.94432,0.36681,0.20627,0.84331,0.000352076,0.000352076,0.000352076
71,189.503,0.31067,0.23249,0.86338,0.9956,1,0.995,0.93151,0.37513,0.20122,0.84266,0.000341077,0.000341077,0.000341077
72,192.061,0.30843,0.22026,0.85821,0.99611,1,0.995,0.94084,0.37182,0.20604,0.83851,0.000330078,0.000330078,0.000330078
73,194.613,0.28874,0.21251,0.8516,0.9948,1,0.995,0.93141,0.38716,0.20576,0.84901,0.000319079,0.000319079,0.000319079
74,197.204,0.29175,0.21044,0.84041,0.99039,1,0.995,0.93602,0.37448,0.21751,0.84349,0.00030808,0.00030808,0.00030808
75,199.78,0.29985,0.21425,0.84829,0.99613,1,0.995,0.93589,0.37407,0.2066,0.847,0.000297081,0.000297081,0.000297081
76,202.26,0.30223,0.22552,0.85276,0.99729,0.99892,0.995,0.93172,0.38209,0.19968,0.85154,0.000286083,0.000286083,0.000286083
77,205.11,0.29288,0.21251,0.85424,0.9969,1,0.995,0.9372,0.38149,0.20441,0.85032,0.000275084,0.000275084,0.000275084
78,207.867,0.28935,0.21709,0.8609,0.99718,1,0.995,0.9278,0.38525,0.19346,0.85301,0.000264085,0.000264085,0.000264085
79,210.462,0.2925,0.20544,0.83574,0.99697,1,0.995,0.9317,0.38211,0.19521,0.85694,0.000253086,0.000253086,0.000253086
80,212.901,0.28499,0.19986,0.85478,0.99627,1,0.995,0.93697,0.36474,0.19125,0.85189,0.000242087,0.000242087,0.000242087
81,215.451,0.26786,0.18908,0.83647,0.99707,1,0.995,0.9378,0.37187,0.19143,0.84777,0.000231088,0.000231088,0.000231088
82,218.024,0.27875,0.19892,0.84998,0.99702,1,0.995,0.93955,0.3633,0.19072,0.84355,0.000220089,0.000220089,0.000220089
83,220.529,0.27114,0.19882,0.83354,0.99785,1,0.995,0.93578,0.37051,0.18529,0.84966,0.00020909,0.00020909,0.00020909
84,223.081,0.28663,0.20589,0.84152,0.99808,1,0.995,0.93355,0.39492,0.19848,0.85973,0.000198091,0.000198091,0.000198091
