epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.38383,0.86881,5.51678,1.13603,0.28372,0.1,0.07185,0.05807,0.83647,4.29372,1.10117,5.555e-05,5.555e-05,5.555e-05
2,8.0268,0.74871,4.09549,1.05858,0.73928,0.72735,0.80973,0.70394,0.60829,1.93023,0.9451,0.00011979,0.00011979,0.00011979
3,11.7048,0.60407,1.84301,0.96578,0.86346,0.85575,0.95884,0.80634,0.66288,1.60193,0.95584,0.000181391,0.000181391,0.000181391
4,15.0817,0.67406,1.39866,1.00175,0.82401,0.98973,0.96756,0.81527,0.63342,1.03881,0.94618,0.000240352,0.000240352,0.000240352
5,18.9231,0.66243,1.03504,0.96539,0.97981,0.9912,0.995,0.86514,0.59349,0.67033,0.94665,0.000296673,0.000296673,0.000296673
6,22.5287,0.62262,0.88175,0.93688,0.9781,0.99242,0.995,0.83141,0.64266,0.6524,0.96297,0.000350354,0.000350354,0.000350354
7,25.6667,0.64677,0.74123,0.95007,0.97633,0.97886,0.99365,0.83028,0.69006,0.55521,0.99316,0.000401395,0.000401395,0.000401395
8,28.7765,0.6206,0.67694,0.96604,0.84032,0.97435,0.94553,0.73663,0.82632,0.74601,1.11749,0.000449797,0.000449797,0.000449797
9,32.0496,0.63433,0.60756,0.96811,0.83131,0.98367,0.85027,0.67636,0.81365,1.0632,1.1608,0.000495559,0.000495559,0.000495559
10,35.2979,0.62532,0.57001,0.96482,0.8247,0.99209,0.86686,0.68663,0.77853,1.29474,1.18976,0.000538682,0.000538682,0.000538682
11,38.3866,0.66014,0.57311,0.98801,0.92619,0.96998,0.98179,0.79401,0.77463,0.73119,1.09936,0.000579164,0.000579164,0.000579164
12,41.2087,0.58531,0.52054,0.94842,0.9356,0.98089,0.98495,0.83773,0.64938,0.63879,0.99462,0.000617007,0.000617007,0.000617007
13,44.045,0.55566,0.48815,0.93177,0.96274,0.97699,0.99306,0.83749,0.67088,0.55642,1.01112,0.00065221,0.00065221,0.00065221
14,46.9111,0.56143,0.47156,0.9629,0.99006,0.99466,0.995,0.86993,0.6007,0.48869,0.96753,0.000684774,0.000684774,0.000684774
15,49.6867,0.54527,0.45866,0.9276,0.95797,0.99167,0.99274,0.86633,0.57096,0.51517,0.96469,0.000714697,0.000714697,0.000714697
16,52.8519,0.55139,0.46261,0.93975,0.97367,0.97888,0.9912,0.84644,0.65734,0.56657,1.02844,0.000741981,0.000741981,0.000741981
17,55.6812,0.57888,0.45572,0.94932,0.94864,0.97039,0.99051,0.86555,0.59598,0.47073,0.98144,0.000759035,0.000759035,0.000759035
18,58.4737,0.53834,0.45506,0.90813,0.94726,0.93309,0.97028,0.82091,0.66791,0.89343,1.05741,0.000737037,0.000737037,0.000737037
19,61.2157,0.54718,0.47705,0.92545,0.98453,0.9996,0.99236,0.86062,0.62199,0.48736,0.97894,0.00071504,0.00071504,0.00071504
20,64.2981,0.50902,0.41224,0.89566,0.9849,0.99496,0.99468,0.87477,0.6016,0.61923,0.98553,0.000693042,0.000693042,0.000693042
21,67.1368,0.50804,0.41304,0.91038,0.98703,0.99828,0.99468,0.85661,0.5674,0.55804,0.95698,0.000671044,0.000671044,0.000671044
22,69.9195,0.47871,0.39087,0.88831,0.98219,0.99057,0.99436,0.85807,0.56942,0.4972,0.9488,0.000649046,0.000649046,0.000649046
23,72.6619,0.50291,0.39025,0.91846,0.99136,0.99431,0.995,0.86351,0.58806,0.39521,0.9459,0.000627048,0.000627048,0.000627048
24,75.4877,0.50898,0.41115,0.91905,0.99334,0.99863,0.995,0.86889,0.53482,0.37603,0.93104,0.000605051,0.000605051,0.000605051
25,78.3249,0.48595,0.39821,0.91961,0.98017,0.97633,0.995,0.87023,0.5586,0.37847,0.9445,0.000583053,0.000583053,0.000583053
26,81.234,0.49049,0.39375,0.92189,0.9916,0.99255,0.995,0.87298,0.51698,0.3902,0.93779,0.000561055,0.000561055,0.000561055
27,84.0964,0.45765,0.35764,0.90449,0.9778,0.95728,0.98708,0.88737,0.48732,0.39254,0.91272,0.000539057,0.000539057,0.000539057
28,87.0632,0.43554,0.35025,0.89638,0.98401,1,0.995,0.89011,0.50011,0.34982,0.90902,0.000517059,0.000517059,0.000517059
29,89.8529,0.43578,0.34429,0.89525,0.99525,0.99479,0.995,0.90158,0.49568,0.32328,0.90794,0.000495062,0.000495062,0.000495062
30,92.722,0.42013,0.32954,0.87139,0.98433,0.99713,0.99468,0.88871,0.51868,0.34114,0.92293,0.000473064,0.000473064,0.000473064
31,95.6331,0.43169,0.34498,0.88008,0.98401,1,0.995,0.88838,0.50298,0.32517,0.9117,0.000451066,0.000451066,0.000451066
32,98.8899,0.43695,0.32859,0.88197,0.9856,0.99762,0.995,0.9119,0.45933,0.30119,0.89044,0.000429068,0.000429068,0.000429068
33,102.024,0.4303,0.31827,0.88949,0.98299,1,0.995,0.91301,0.46382,0.3024,0.895,0.00040707,0.00040707,0.00040707
34,104.88,0.41593,0.3167,0.89565,0.99433,1,0.995,0.91121,0.44718,0.29293,0.89295,0.000385073,0.000385073,0.000385073
35,107.624,0.42673,0.32087,0.88482,0.99364,1,0.995,0.90709,0.48687,0.29376,0.91424,0.000363075,0.000363075,0.000363075
36,110.369,0.40834,0.30784,0.87066,0.99568,1,0.995,0.91253,0.46615,0.2777,0.90067,0.000341077,0.000341077,0.000341077
37,113.292,0.37684,0.29577,0.86668,0.9957,1,0.995,0.91603,0.44902,0.2706,0.89066,0.000319079,0.000319079,0.000319079
38,116.135,0.38309,0.29817,0.86956,0.9966,1,0.995,0.91716,0.43874,0.27197,0.88385,0.000297081,0.000297081,0.000297081
39,119.004,0.44881,0.32846,0.91934,0.99592,1,0.995,0.92009,0.42306,0.26739,0.87933,0.000275084,0.000275084,0.000275084
40,122.156,0.39127,0.29602,0.86415,0.99577,1,0.995,0.92333,0.42788,0.25442,0.88712,0.000253086,0.000253086,0.000253086
41,150.892,0.36329,0.31937,0.81628,0.99092,1,0.995,0.91582,0.44759,0.26953,0.89322,0.000231088,0.000231088,0.000231088
42,153.394,0.36601,0.31226,0.84979,0.95257,0.98975,0.995,0.9242,0.43621,0.30787,0.89166,0.00020909,0.00020909,0.00020909
43,155.92,0.32284,0.2742,0.80684,0.98861,1,0.995,0.92491,0.435,0.26352,0.89004,0.000187092,0.000187092,0.000187092
44,158.419,0.3161,0.28722,0.84579,0.99329,1,0.995,0.92877,0.43668,0.25983,0.89157,0.000165095,0.000165095,0.000165095
45,160.909,0.32387,0.2648,0.82352,0.99412,0.99972,0.995,0.93069,0.40666,0.25063,0.88005,0.000143097,0.000143097,0.000143097
46,163.375,0.30591,0.24196,0.83515,0.9946,0.99889,0.995,0.93569,0.39683,0.24382,0.87505,0.000121099,0.000121099,0.000121099
47,165.856,0.29629,0.24793,0.82481,0.99558,0.99786,0.995,0.93257,0.40027,0.24339,0.87594,9.91012e-05,9.91012e-05,9.91012e-05
48,168.358,0.30459,0.24824,0.82733,0.99575,0.99766,0.995,0.9277,0.40432,0.2385,0.87725,7.71034e-05,7.71034e-05,7.71034e-05
49,170.946,0.2903,0.24286,0.8116,0.99538,0.9977,0.995,0.93308,0.40212,0.2349,0.87824,5.51056e-05,5.51056e-05,5.51056e-05
50,173.515,0.28399,0.24447,0.82168,0.99556,0.99824,0.995,0.93907,0.40235,0.23144,0.87927,3.31078e-05,3.31078e-05,3.31078e-05
