epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.12392,0.73784,5.7173,1.01856,0.03931,0.78125,0.07223,0.06354,0.68749,6.98521,1.06122,1.667e-05,1.667e-05,1.667e-05
2,6.21539,0.82457,5.5235,1.11273,0.04142,0.78125,0.07244,0.06382,0.6728,7.06755,1.05534,4.90198e-05,4.90198e-05,4.90198e-05
3,7.35465,0.69404,5.76009,1.04456,0.04257,0.78125,0.07029,0.06242,0.65307,7.10976,1.04455,8.00493e-05,8.00493e-05,8.00493e-05
4,8.44889,0.85202,5.85965,1.10457,0.04507,0.78125,0.06938,0.0621,0.64056,7.22406,1.03975,0.000109759,0.000109759,0.000109759
5,9.59515,0.83358,5.91447,1.12202,0.53584,0.78901,0.61606,0.53868,0.53129,4.91273,0.96209,0.000138148,0.000138148,0.000138148
6,10.9818,0.56112,3.21556,0.97188,0.68989,0.5625,0.63586,0.55317,0.52817,5.00892,0.93835,0.000165216,0.000165216,0.000165216
7,12.225,0.61995,2.603,0.96769,0.88816,0.85726,0.98,0.86772,0.55512,3.79909,0.90481,0.000190965,0.000190965,0.000190965
8,13.4903,0.59088,1.97581,0.88954,0.85994,0.99246,0.995,0.83971,0.59937,3.45142,0.92077,0.000215393,0.000215393,0.000215393
9,14.6766,0.61052,1.59779,0.9296,0.8364,1,0.995,0.86554,0.53788,3.81878,0.91215,0.000238501,0.000238501,0.000238501
10,15.8429,0.5893,1.54342,0.90522,0.94767,1,0.995,0.86663,0.54978,3.36457,0.9104,0.000260289,0.000260289,0.000260289
11,17.0661,0.57791,1.19636,0.94063,0.93912,1,0.995,0.87134,0.58985,3.06868,0.92599,0.000280756,0.000280756,0.000280756
12,18.2294,0.57163,1.07964,0.95771,0.87899,1,0.94873,0.79539,0.64286,2.67434,0.98339,0.000299903,0.000299903,0.000299903
13,19.4507,0.56907,1.03279,0.95813,0.86806,0.97957,0.96944,0.79185,0.66332,2.85387,0.99702,0.00031773,0.00031773,0.00031773
14,20.6455,0.60632,0.92053,0.96223,0.94657,0.92857,0.97592,0.82983,0.63094,2.41403,1.02315,0.000334237,0.000334237,0.000334237
15,21.9918,0.61204,0.8665,0.93243,0.9832,0.92857,0.97944,0.82344,0.65783,2.12347,1.0284,0.000349423,0.000349423,0.000349423
16,23.3141,0.59634,0.78257,0.95266,0.75769,0.86676,0.91697,0.7651,0.67852,2.91326,1.0204,0.000363289,0.000363289,0.000363289
17,24.5063,0.58029,0.74778,0.93238,0.98996,0.9939,0.995,0.84703,0.61725,2.2049,0.98385,0.000375835,0.000375835,0.000375835
18,25.6286,0.61131,0.71687,0.97069,0.99604,0.92156,0.96583,0.82071,0.66691,2.60611,0.99123,0.000387061,0.000387061,0.000387061
19,26.7158,0.56348,0.67374,0.9753,0.98326,0.78571,0.87703,0.75776,0.57018,2.45055,0.9404,0.000396966,0.000396966,0.000396966
20,27.7941,0.51101,0.60081,0.90513,0.95581,1,0.995,0.84706,0.59329,1.76421,1.00377,0.000405551,0.000405551,0.000405551
21,28.9363,0.52758,0.57759,0.90605,0.88736,1,0.995,0.82071,0.71941,1.79903,1.07296,0.000412816,0.000412816,0.000412816
22,30.1956,0.56437,0.54919,0.91544,0.95721,0.98194,0.995,0.86124,0.61854,1.79474,1.03797,0.00041876,0.00041876,0.00041876
