epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.69049,3.06206,3.46255,3.45249,0.00311,0.93333,0.02837,0.00775,3.43768,4.7721,4.89689,2e-05,2e-05,2e-05
2,2.56857,3.2859,3.5605,3.73689,0.00333,1,0.03614,0.00762,3.47519,4.69419,4.91431,5.83029e-05,5.83029e-05,5.83029e-05
3,3.44476,3.28851,3.71135,3.58202,0.00333,1,0.08555,0.02342,3.35269,4.78686,4.68719,9.43429e-05,9.43429e-05,9.43429e-05
4,4.3785,3.03001,3.66625,3.51406,0.00311,0.93333,0.04914,0.01285,3.25626,4.47974,4.41101,0.00012812,0.00012812,0.00012812
5,5.30141,3.05012,3.51346,3.27926,0.00333,1,0.19242,0.04579,3.1085,4.43841,4.21397,0.000159634,0.000159634,0.000159634
6,6.20016,2.63119,3.22768,2.91476,0.00333,1,0.20379,0.08098,2.91271,4.16705,3.71769,0.000188886,0.000188886,0.000188886
7,7.25331,2.47587,3.20725,2.75558,0.00333,1,0.13141,0.03563,2.44356,3.98086,3.28637,0.000215874,0.000215874,0.000215874
8,8.28493,2.50478,3.55567,2.71422,0.00333,1,0.09837,0.03614,2.35824,3.66014,3.24708,0.0002406,0.0002406,0.0002406
9,9.20313,2.20244,3.18725,2.43731,0.00333,1,0.11604,0.03693,2.0265,3.66412,2.93482,0.000263063,0.000263063,0.000263063
10,10.1652,2.02789,2.99791,2.29817,0.00333,1,0.1254,0.05093,2.23981,3.65365,3.27167,0.000283263,0.000283263,0.000283263
11,11.1123,1.98981,2.91602,2.35668,0.00333,1,0.424,0.11104,2.83598,3.85218,4.8918,0.0003012,0.0003012,0.0003012
12,12.0344,2.03681,3.12377,2.30819,0.00333,1,0.09762,0.03401,2.96651,3.67014,5.68092,0.000316874,0.000316874,0.000316874
13,12.9691,1.90867,2.90157,2.16274,0.00333,1,0.20967,0.06771,2.66095,3.56971,4.38083,0.000330286,0.000330286,0.000330286
14,13.9038,1.85242,2.88013,2.1221,0.00333,1,0.10075,0.039,2.54249,3.66009,3.83339,0.000341434,0.000341434,0.000341434
15,14.8424,1.70295,2.65655,2.00548,0.00333,1,0.08775,0.04564,2.26952,3.65818,3.69496,0.00035032,0.00035032,0.00035032
16,15.8076,1.76628,2.83072,2.0589,0.00333,1,0.17167,0.07192,2.51617,3.59976,3.46637,0.000356943,0.000356943,0.000356943
17,16.9821,2.01717,2.78226,2.29557,0.00333,1,0.13834,0.07452,2.63057,3.745,3.60533,0.000361303,0.000361303,0.000361303
18,18.0596,1.95747,2.54164,2.15538,0.00333,1,0.137,0.07744,2.28724,3.60259,3.15092,0.0003634,0.0003634,0.0003634
19,19.3293,1.73911,2.52095,1.89024,0.00333,1,0.2367,0.11419,2.36389,3.66012,3.39569,0.000363234,0.000363234,0.000363234
20,20.5132,1.5915,2.29429,1.82032,0.00333,1,0.66196,0.26708,2.57869,3.45243,3.81213,0.000360806,0.000360806,0.000360806
21,21.4483,1.61096,2.24885,1.87636,0.0052,1,0.73272,0.34914,2.24594,3.31178,3.25615,0.000356114,0.000356114,0.000356114
22,22.3831,1.58348,2.11773,1.8069,0.00333,1,0.58484,0.30815,2.18077,3.46859,3.09116,0.00034916,0.00034916,0.00034916
23,23.3221,1.94692,2.47014,2.33297,0.00333,1,0.69564,0.3782,1.9939,3.33062,2.88076,0.000339943,0.000339943,0.000339943
24,24.302,1.54193,2.23714,1.82019,0.00333,1,0.69129,0.31744,1.88608,3.43576,2.73471,0.000328463,0.000328463,0.000328463
25,25.2577,1.71618,2.23481,1.96296,0.0053,1,0.68249,0.2549,1.97335,3.33152,2.93611,0.00031472,0.00031472,0.00031472
26,50.627,1.51467,2.98864,2.07183,0.44644,0.46667,0.46268,0.20641,2.14486,3.18752,3.79896,0.000298714,0.000298714,0.000298714
27,51.5622,1.47301,2.91931,1.87554,0.48177,0.62049,0.46613,0.16802,2.21193,3.37022,4.2932,0.000280446,0.000280446,0.000280446
28,52.5718,1.17878,2.72843,1.80878,0.31767,0.53333,0.39853,0.15443,2.27464,3.42658,4.73417,0.000259914,0.000259914,0.000259914
29,53.4238,1.3891,2.57627,1.90666,0.31584,0.26667,0.44738,0.17702,2.23452,3.31062,4.65279,0.00023712,0.00023712,0.00023712
30,54.3517,1.41395,2.33821,1.91432,0.48917,0.26667,0.4806,0.20728,2.17904,3.20216,4.31898,0.000212063,0.000212063,0.000212063
31,55.3415,1.30321,2.43557,1.80601,0.45094,0.33333,0.54139,0.23062,2.10376,3.1487,4.08096,0.000184743,0.000184743,0.000184743
32,56.3269,1.29477,2.46345,1.62895,0.65273,0.53333,0.73772,0.32409,2.02886,3.10037,3.76157,0.00015516,0.00015516,0.00015516
33,57.2125,1.24395,2.42414,1.80474,0.79762,0.5262,0.82538,0.3628,1.97712,3.00645,3.48047,0.000123314,0.000123314,0.000123314
34,58.111,1.18281,2.41145,1.6335,1,0.51408,0.84232,0.42038,1.93998,2.93096,3.25781,8.92057e-05,8.92057e-05,8.92057e-05
35,58.9975,1.18126,2.48025,1.59473,1,0.5828,0.85759,0.44518,1.93288,2.90015,3.17053,5.28343e-05,5.28343e-05,5.28343e-05
