epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.7417,0.83487,5.18384,1.14664,0.25259,0.0646,0.0391,0.03055,0.77148,4.77605,1.06485,7.777e-05,7.777e-05,7.777e-05
2,19.8354,0.6585,3.19289,1.01551,0.54119,0.875,0.7143,0.62412,0.55975,2.16066,0.85666,0.000165,0.000165,0.000165
3,28.3246,0.65428,1.66926,0.97162,0.71735,0.95684,0.94208,0.79684,0.64396,1.50225,0.88349,0.000250471,0.000250471,0.000250471
4,36.4626,0.64987,1.1161,0.95982,0.88032,0.96271,0.97155,0.82408,0.64218,1.04392,0.89206,0.000334181,0.000334181,0.000334181
5,44.6254,0.61991,0.827,0.94853,0.93929,0.98835,0.9895,0.83995,0.62607,0.62856,0.9012,0.000416132,0.000416132,0.000416132
6,51.3426,0.62157,0.71479,0.94713,0.84056,0.95153,0.97392,0.80978,0.69496,1.69996,1.02627,0.000496323,0.000496323,0.000496323
7,57.3811,0.60939,0.57552,0.95766,0.90138,0.90429,0.96518,0.81224,0.63238,1.28121,0.99918,0.000574754,0.000574754,0.000574754
8,62.6415,0.61595,0.54593,0.96425,0.89231,0.91677,0.96423,0.82542,0.61118,0.93178,1.06023,0.000651425,0.000651425,0.000651425
9,66.7036,0.61015,0.50801,0.95547,0.92065,0.96887,0.98655,0.8307,0.62324,0.79047,1.0416,0.000726336,0.000726336,0.000726336
10,71.1882,0.57078,0.46755,0.94906,0.91332,0.98485,0.99073,0.851,0.60166,0.84592,1.04377,0.000799488,0.000799488,0.000799488
11,74.9163,0.53453,0.43964,0.95558,0.92481,0.95575,0.98416,0.84611,0.5915,1.09988,1.03778,0.00087088,0.00087088,0.00087088
12,78.6766,0.54514,0.46084,0.93392,0.97372,0.98818,0.99104,0.84002,0.60595,0.61497,1.02245,0.000940511,0.000940511,0.000940511
13,82.2377,0.57622,0.4947,0.94309,0.97703,0.99167,0.98893,0.84213,0.58766,0.59484,0.97292,0.000979013,0.000979013,0.000979013
14,85.8506,0.57439,0.47137,0.9334,0.88103,0.91131,0.96424,0.8256,0.58272,0.82283,0.99043,0.000968014,0.000968014,0.000968014
15,89.4497,0.57419,0.47428,0.94695,0.95129,0.94199,0.97532,0.84139,0.58686,0.73177,0.99044,0.000957015,0.000957015,0.000957015
16,93.4875,0.53363,0.43682,0.94032,0.92933,0.97084,0.99236,0.87635,0.52961,0.83018,0.95905,0.000946016,0.000946016,0.000946016
17,97.1389,0.51991,0.41551,0.91555,0.98963,0.99084,0.99434,0.87818,0.54653,0.62466,0.91908,0.000935018,0.000935018,0.000935018
18,100.767,0.52564,0.39477,0.92164,0.98132,0.97472,0.98778,0.88267,0.52837,0.69124,0.91474,0.000924019,0.000924019,0.000924019
19,104.838,0.50177,0.39237,0.91771,0.99277,0.99544,0.995,0.89192,0.48825,0.60987,0.90367,0.00091302,0.00091302,0.00091302
