epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.53949,0.79224,5.51894,1.08296,0.10464,0.23361,0.08364,0.06798,0.71268,4.88979,1.00693,7e-05,7e-05,7e-05
2,8.71009,0.70314,3.93179,1.02239,0.4071,0.79757,0.70264,0.60744,0.55883,2.78706,0.89209,0.000148515,0.000148515,0.000148515
3,12.8421,0.6346,1.81627,0.96497,0.80775,0.90349,0.88839,0.77243,0.55985,1.39903,0.8939,0.000225446,0.000225446,0.000225446
4,16.6793,0.61433,1.24394,0.94635,0.97619,0.922,0.96938,0.84201,0.57544,1.22813,0.93843,0.000300793,0.000300793,0.000300793
5,20.6514,0.59047,0.81749,0.95414,0.9808,0.9854,0.99441,0.87527,0.55602,0.79205,0.92184,0.000374556,0.000374556,0.000374556
6,24.4344,0.58717,0.73009,0.91271,0.95832,0.95492,0.98143,0.84035,0.62168,0.61247,0.95657,0.000446735,0.000446735,0.000446735
7,28.0698,0.61448,0.61629,0.95655,0.98564,0.9611,0.98993,0.8553,0.62441,0.54872,1.00236,0.00051733,0.00051733,0.00051733
8,31.9396,0.59229,0.55289,0.95533,0.97737,0.94539,0.99182,0.83866,0.63623,0.59705,1.01857,0.000586341,0.000586341,0.000586341
9,35.4738,0.59603,0.57739,0.9664,0.9648,0.95566,0.983,0.83689,0.61966,0.60771,1.01485,0.000653768,0.000653768,0.000653768
10,38.9608,0.57448,0.5219,0.93645,0.91219,0.9524,0.98047,0.84685,0.58488,0.64538,0.9708,0.000719611,0.000719611,0.000719611
11,42.7757,0.55342,0.5017,0.93082,0.95366,0.92139,0.97078,0.83626,0.58223,0.78547,0.95773,0.00078387,0.00078387,0.00078387
12,46.2629,0.58033,0.50509,0.94196,0.94161,0.96765,0.98651,0.85996,0.56886,1.18519,0.96999,0.000846545,0.000846545,0.000846545
13,49.7719,0.56316,0.46173,0.94466,0.9826,0.98822,0.995,0.87295,0.55346,0.67219,0.94676,0.0008812,0.0008812,0.0008812
14,53.1217,0.56283,0.44236,0.9258,0.86832,0.95547,0.99493,0.8824,0.53524,0.82052,0.94911,0.0008713,0.0008713,0.0008713
15,56.6109,0.54697,0.43894,0.93313,0.99321,0.98828,0.99441,0.88256,0.52241,0.48811,0.93666,0.0008614,0.0008614,0.0008614
