epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.54975,0.81928,5.02643,1.11916,0.04265,0.22222,0.06004,0.04998,0.76093,4.59208,1.08535,7e-05,7e-05,7e-05
2,16.2577,0.66835,3.32252,1.00239,0.79429,0.73387,0.85184,0.72545,0.60167,2.18354,0.93383,0.00014703,0.00014703,0.00014703
3,23.6496,0.61628,1.72142,0.97046,0.82883,0.89729,0.96665,0.80944,0.62354,1.41285,0.97821,0.000220892,0.000220892,0.000220892
4,31.1084,0.60749,1.14079,0.94726,0.95846,0.9921,0.99409,0.84605,0.58785,0.87059,0.9736,0.000291586,0.000291586,0.000291586
5,38.2136,0.62663,0.89945,0.95812,0.95237,0.98973,0.99255,0.84076,0.62184,0.66256,0.95421,0.000359112,0.000359112,0.000359112
6,45.2534,0.58094,0.71646,0.94033,0.88736,0.99087,0.98533,0.82881,0.6294,0.62368,0.9895,0.00042347,0.00042347,0.00042347
7,52.4914,0.61154,0.63408,0.97484,0.94148,0.95606,0.98379,0.81585,0.62376,0.52579,1.00729,0.00048466,0.00048466,0.00048466
8,59.4159,0.5998,0.56744,0.96777,0.98571,0.97652,0.9944,0.84256,0.62885,0.52727,1.02093,0.000542682,0.000542682,0.000542682
9,66.1497,0.6151,0.57667,0.97072,0.95764,0.97607,0.9863,0.84395,0.60535,0.63077,1.00914,0.000597536,0.000597536,0.000597536
10,72.3085,0.53875,0.49731,0.94369,0.98122,0.99181,0.99387,0.86451,0.56479,0.5913,0.99487,0.000649222,0.000649222,0.000649222
11,78.7121,0.53813,0.44704,0.9389,0.97628,0.98313,0.995,0.8679,0.56477,0.41407,0.9847,0.00069774,0.00069774,0.00069774
12,84.8444,0.52851,0.45024,0.92502,0.97982,0.99892,0.99447,0.85598,0.57714,0.42184,0.97812,0.00074309,0.00074309,0.00074309
13,91.295,0.55523,0.45892,0.96189,0.98709,0.99658,0.995,0.86491,0.57823,0.4395,1.00182,0.0007624,0.0007624,0.0007624
14,97.7388,0.54929,0.44595,0.93044,0.99413,0.99296,0.995,0.85529,0.62156,0.46916,1.0555,0.0007426,0.0007426,0.0007426
15,104.52,0.53296,0.4259,0.92894,0.98228,1,0.99333,0.85147,0.60844,0.44549,1.03164,0.0007228,0.0007228,0.0007228
16,111.056,0.51571,0.4126,0.9393,0.98207,0.97874,0.99405,0.86136,0.59104,0.44143,0.99213,0.000703,0.000703,0.000703
