epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.73133,0.79224,5.51894,1.08296,0.10464,0.23361,0.08364,0.06798,0.71268,4.88979,1.00693,7e-05,7e-05,7e-05
2,9.61053,0.70751,3.93871,1.023,0.44203,0.69938,0.66367,0.56313,0.57045,2.93922,0.89016,0.00014703,0.00014703,0.00014703
3,13.9524,0.62867,1.86343,0.95783,0.80456,0.81874,0.90058,0.76705,0.59314,1.62756,0.91519,0.000220892,0.000220892,0.000220892
4,18.0279,0.60156,1.26268,0.93586,0.97886,0.91417,0.98206,0.84315,0.58635,1.10244,0.92985,0.000291586,0.000291586,0.000291586
5,22.4207,0.59116,0.86231,0.94901,0.98843,0.97607,0.99367,0.8644,0.58309,0.65908,0.94655,0.000359112,0.000359112,0.000359112
6,26.432,0.59189,0.72805,0.91996,0.93304,0.93555,0.98738,0.85198,0.60938,0.66195,0.97528,0.00042347,0.00042347,0.00042347
7,30.2041,0.60997,0.61379,0.95808,0.78666,0.88597,0.92863,0.77986,0.65659,1.14655,1.02289,0.00048466,0.00048466,0.00048466
8,34.1958,0.59382,0.56043,0.96087,0.96576,0.97959,0.99277,0.83993,0.63693,0.71821,1.00546,0.000542682,0.000542682,0.000542682
9,37.8666,0.56461,0.51984,0.95037,0.98615,0.99486,0.995,0.86753,0.56869,0.5213,0.96419,0.000597536,0.000597536,0.000597536
10,41.8777,0.54017,0.49026,0.92645,0.9851,0.99097,0.995,0.87698,0.56489,0.47826,0.96696,0.000649222,0.000649222,0.000649222
11,45.645,0.52149,0.44804,0.92917,0.97645,0.99505,0.99157,0.86392,0.5556,0.49298,0.97607,0.00069774,0.00069774,0.00069774
12,49.1311,0.56363,0.46653,0.94797,0.96296,0.95156,0.98623,0.86192,0.56313,0.48167,0.94716,0.00074309,0.00074309,0.00074309
13,52.656,0.56785,0.46302,0.94431,0.99012,0.99477,0.995,0.85714,0.59042,0.47858,0.96457,0.0007624,0.0007624,0.0007624
