epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.90643,0.71332,3.95151,1.01747,0.23726,0.38578,0.2504,0.20364,0.69782,4.71297,1.00483,2.858e-05,2.858e-05,2.858e-05
2,3.32875,0.72269,3.94849,1.01378,0.2185,0.36408,0.23358,0.19018,0.6902,4.75277,1.00535,7.00353e-05,7.00353e-05,7.00353e-05
3,4.68605,0.75181,3.94722,1.07739,0.62809,0.76488,0.70463,0.60845,0.57039,2.82544,0.94605,0.000109793,0.000109793,0.000109793
4,6.12337,0.6042,2.06572,0.97901,0.77669,0.85067,0.90381,0.79246,0.51421,3.47983,0.89991,0.000147853,0.000147853,0.000147853
5,7.62872,0.63082,1.60458,0.9939,0.62796,0.91667,0.73689,0.64901,0.56009,3.53986,0.89235,0.000184215,0.000184215,0.000184215
6,9.11005,0.58131,1.32898,0.92156,0.87478,0.97127,0.93504,0.82878,0.55348,2.65903,0.90781,0.00021888,0.00021888,0.00021888
7,10.6694,0.62203,1.23837,0.94477,0.90518,0.93491,0.99382,0.85981,0.57157,2.09878,0.90173,0.000251847,0.000251847,0.000251847
8,12.1087,0.57074,0.965,0.92532,0.97281,1,0.995,0.85643,0.56866,1.42265,0.90965,0.000283116,0.000283116,0.000283116
9,13.396,0.54276,0.91932,0.90158,0.93877,0.98138,0.995,0.87299,0.58548,1.50297,0.89606,0.000312688,0.000312688,0.000312688
10,14.7043,0.59936,0.75443,0.90825,0.98776,1,0.995,0.85952,0.61425,1.28465,0.90568,0.000340562,0.000340562,0.000340562
11,16.0536,0.54471,0.63008,0.89129,0.97404,1,0.995,0.85644,0.58137,1.19262,0.89777,0.000366739,0.000366739,0.000366739
12,17.3949,0.51116,0.65078,0.90016,0.95968,1,0.995,0.86124,0.58298,1.07908,0.92249,0.000391217,0.000391217,0.000391217
13,18.7532,0.52583,0.56565,0.88835,0.98837,1,0.995,0.86006,0.59457,0.8551,0.95857,0.000413998,0.000413998,0.000413998
14,20.0295,0.58844,0.60531,0.93552,0.97182,0.9375,0.98347,0.81094,0.64105,0.86672,0.97798,0.000435082,0.000435082,0.000435082
15,21.3468,0.56169,0.51221,0.93021,1,0.99533,0.995,0.84088,0.64718,0.7645,1.00125,0.000454468,0.000454468,0.000454468
16,22.8241,0.60528,0.52543,0.9488,0.93108,0.99598,0.98917,0.8375,0.59818,0.82253,0.99426,0.000472156,0.000472156,0.000472156
17,24.1284,0.5435,0.52554,0.92302,0.6799,0.98976,0.981,0.81641,0.70418,1.40676,1.07712,0.000488146,0.000488146,0.000488146
18,25.4677,0.54701,0.50437,0.91678,0.92989,0.99147,0.98333,0.81499,0.6189,0.78169,1.03556,0.000502439,0.000502439,0.000502439
19,26.824,0.52958,0.48219,0.90522,0.89843,0.99462,0.98333,0.83941,0.62643,0.78228,1.07458,0.000515034,0.000515034,0.000515034
20,28.1803,0.58812,0.4826,0.96496,0.9791,1,0.995,0.84158,0.60434,0.66187,1.02961,0.000525932,0.000525932,0.000525932
21,29.4346,0.58102,0.46945,0.93872,0.98795,0.9943,0.995,0.84059,0.63108,0.6783,1.0457,0.000535132,0.000535132,0.000535132
22,30.7009,0.53473,0.44564,0.91804,0.96408,0.98556,0.995,0.84761,0.5776,0.74158,1.0127,0.000542634,0.000542634,0.000542634
23,32.0212,0.47611,0.40468,0.89551,0.93353,0.96034,0.991,0.84636,0.54253,0.66789,0.99253,0.000548439,0.000548439,0.000548439
24,33.2194,0.49631,0.40618,0.9224,0.93272,0.90117,0.9814,0.8342,0.54648,0.78382,0.98462,0.000552546,0.000552546,0.000552546
25,34.4577,0.48258,0.40576,0.93321,0.9794,0.96506,0.995,0.88066,0.54519,0.63654,0.93426,0.000554955,0.000554955,0.000554955
26,35.712,0.46701,0.38653,0.89058,0.97684,1,0.995,0.88303,0.52997,0.53801,0.9218,0.000555667,0.000555667,0.000555667
27,36.9873,0.46807,0.39462,0.91289,0.96803,1,0.995,0.87968,0.55099,0.56307,0.947,0.000554681,0.000554681,0.000554681
28,38.2321,0.45818,0.37976,0.89141,0.96982,1,0.995,0.88234,0.51795,0.57083,0.93851,0.000551997,0.000551997,0.000551997
29,39.5354,0.45794,0.37701,0.8651,0.95931,1,0.995,0.88817,0.49755,0.50072,0.94021,0.000547616,0.000547616,0.000547616
30,40.9287,0.4463,0.35253,0.90648,0.97336,0.94336,0.995,0.88838,0.49827,0.59576,0.93666,0.000541537,0.000541537,0.000541537
31,42.4561,0.47508,0.37447,0.91536,0.90773,0.91893,0.995,0.88746,0.51655,0.94887,0.94134,0.00053376,0.00053376,0.00053376
32,43.8524,0.41194,0.37611,0.8812,0.9546,0.98418,0.995,0.87603,0.50107,0.82836,0.91609,0.000524286,0.000524286,0.000524286
33,45.2437,0.44193,0.34633,0.87751,0.9892,0.98964,0.995,0.89496,0.50196,0.6863,0.89412,0.000513114,0.000513114,0.000513114
34,46.507,0.41053,0.33674,0.8713,0.97083,1,0.995,0.90538,0.49018,0.55387,0.8878,0.000495291,0.000495291,0.000495291
35,47.7483,0.42707,0.32884,0.87561,0.98608,1,0.995,0.89778,0.4439,0.34736,0.87212,0.000466997,0.000466997,0.000466997
36,48.9525,0.41274,0.34456,0.88774,0.98975,1,0.995,0.91162,0.44197,0.34156,0.87621,0.000438703,0.000438703,0.000438703
37,50.1928,0.36395,0.32203,0.83356,0.99194,1,0.995,0.90771,0.46836,0.37371,0.88096,0.000410409,0.000410409,0.000410409
38,51.4001,0.38648,0.30944,0.84862,0.99468,0.99554,0.995,0.89725,0.47231,0.37656,0.88484,0.000382115,0.000382115,0.000382115
39,52.6754,0.41108,0.31724,0.89964,0.98572,1,0.995,0.91472,0.44821,0.36415,0.8713,0.00035382,0.00035382,0.00035382
40,53.8926,0.38005,0.30296,0.85793,0.98119,1,0.995,0.92589,0.42253,0.3624,0.8586,0.000325526,0.000325526,0.000325526
41,81.0915,0.39148,0.34529,0.82593,0.98246,1,0.995,0.92047,0.43795,0.32333,0.86974,0.000297232,0.000297232,0.000297232
42,82.4248,0.36101,0.32237,0.85034,0.98103,0.97233,0.995,0.92383,0.43224,0.30989,0.86881,0.000268938,0.000268938,0.000268938
43,83.7001,0.32103,0.30649,0.80597,0.93857,1,0.995,0.91535,0.43074,0.30053,0.86442,0.000240644,0.000240644,0.000240644
44,84.9183,0.33617,0.30335,0.84228,0.93735,1,0.995,0.92089,0.42737,0.30997,0.86592,0.000212349,0.000212349,0.000212349
45,86.1586,0.30453,0.28377,0.7782,0.97531,1,0.995,0.91823,0.4248,0.2808,0.86243,0.000184055,0.000184055,0.000184055
46,87.3819,0.33375,0.28555,0.81759,0.9887,1,0.995,0.91849,0.41948,0.27161,0.8629,0.000155761,0.000155761,0.000155761
47,88.6292,0.29046,0.28203,0.80636,0.99186,1,0.995,0.90778,0.41369,0.26071,0.86268,0.000127467,0.000127467,0.000127467
48,90.1005,0.31415,0.28605,0.82164,0.9925,1,0.995,0.90979,0.41288,0.25729,0.86277,9.91726e-05,9.91726e-05,9.91726e-05
49,91.4148,0.30634,0.29277,0.82234,0.99324,1,0.995,0.9131,0.40608,0.25421,0.86117,7.08784e-05,7.08784e-05,7.08784e-05
50,92.7171,0.3108,0.26588,0.82132,0.9934,1,0.995,0.91695,0.40139,0.25665,0.85907,4.25842e-05,4.25842e-05,4.25842e-05
