epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.73291,0.93963,5.51849,1.17157,0.23607,0.19444,0.07761,0.05773,0.83377,4.70003,1.10203,5e-05,5e-05,5e-05
2,7.13533,0.88717,4.84425,1.15683,0.34805,0.58681,0.47165,0.39967,0.67343,2.86467,0.98485,0.000107822,0.000107822,0.000107822
3,10.9309,0.84636,2.62135,1.10024,0.8349,0.702,0.77651,0.64963,0.71786,2.04128,1.01227,0.000163268,0.000163268,0.000163268
4,14.4672,0.77278,1.83915,1.05913,0.85616,0.87124,0.943,0.80476,0.63346,1.57408,0.96835,0.000216338,0.000216338,0.000216338
5,17.6695,0.75174,1.33721,1.019,0.86502,0.95319,0.95464,0.78963,0.71835,1.11684,1.02677,0.000267032,0.000267032,0.000267032
6,21.0437,0.72245,1.08582,1.00919,0.92641,0.87268,0.95579,0.80477,0.68957,1.05989,0.97983,0.00031535,0.00031535,0.00031535
7,24.0613,0.69958,0.86598,0.97922,0.88831,0.96706,0.97727,0.81615,0.70874,0.76821,1.04615,0.000361292,0.000361292,0.000361292
8,27.1488,0.67531,0.80758,0.98204,0.89935,0.91539,0.9774,0.81238,0.70457,0.75405,1.01696,0.000404858,0.000404858,0.000404858
9,30.4534,0.7717,0.77478,1.02912,0.91981,0.94065,0.97799,0.77288,0.76534,0.65063,1.05987,0.000446048,0.000446048,0.000446048
10,33.4943,0.69648,0.6963,1.00118,0.9608,0.94477,0.98843,0.8141,0.72908,0.68016,1.03103,0.000484862,0.000484862,0.000484862
11,36.4231,0.69594,0.63453,1.00997,0.96707,0.96731,0.9896,0.79001,0.69267,0.66454,1.00591,0.0005213,0.0005213,0.0005213
12,39.2557,0.67683,0.61764,0.98002,0.96605,0.96331,0.98265,0.80491,0.70558,0.57426,1.0124,0.000555362,0.000555362,0.000555362
13,42.2971,0.65126,0.57749,0.96667,0.94255,0.91108,0.94084,0.79707,0.65485,0.62597,1.011,0.000587048,0.000587048,0.000587048
14,45.3316,0.64359,0.55588,0.99556,0.96076,0.93969,0.99107,0.82499,0.62265,0.51713,1.00081,0.000616358,0.000616358,0.000616358
15,48.2103,0.65078,0.53663,0.99316,0.95862,0.94558,0.98997,0.81163,0.62289,0.52918,0.99871,0.000643292,0.000643292,0.000643292
16,51.2721,0.62478,0.51552,0.98003,0.92105,0.93844,0.9627,0.80062,0.61714,0.64758,1.03676,0.00066785,0.00066785,0.00066785
17,54.1443,0.65507,0.50862,1.00935,0.96508,0.88167,0.97995,0.82566,0.67516,0.61347,1.05914,0.0006832,0.0006832,0.0006832
18,57.0654,0.6728,0.51793,1.00192,0.94921,0.92982,0.98143,0.82173,0.66848,0.56894,1.0292,0.0006634,0.0006634,0.0006634
19,59.8319,0.62324,0.50329,0.98145,0.97658,0.95354,0.9878,0.82992,0.67509,0.54085,1.02633,0.0006436,0.0006436,0.0006436
20,62.6981,0.56966,0.42708,0.93986,0.96636,0.97895,0.99415,0.84862,0.65852,0.50671,1.08532,0.0006238,0.0006238,0.0006238
21,65.815,0.61715,0.48524,0.99439,0.97971,0.98633,0.995,0.85097,0.6521,0.41066,1.02941,0.000604,0.000604,0.000604
22,68.715,0.56492,0.45075,0.94714,0.97981,0.99288,0.995,0.84408,0.6723,0.54033,1.07368,0.0005842,0.0005842,0.0005842
23,71.5403,0.53399,0.42621,0.93151,0.94266,0.90191,0.98759,0.85129,0.62862,0.67291,1.04798,0.0005644,0.0005644,0.0005644
24,74.345,0.55095,0.44438,0.96131,0.89454,0.94846,0.98691,0.8467,0.60237,0.66387,0.98203,0.0005446,0.0005446,0.0005446
25,77.3451,0.54063,0.44019,0.9424,0.95457,0.96231,0.9849,0.85554,0.58679,0.41862,0.96215,0.0005248,0.0005248,0.0005248
26,80.1913,0.52684,0.40861,0.92484,0.99264,0.98131,0.995,0.86116,0.58368,0.36075,0.95048,0.000505,0.000505,0.000505
27,83.0669,0.54421,0.40939,0.93695,0.98402,0.9839,0.995,0.86777,0.56542,0.38796,0.9795,0.0004852,0.0004852,0.0004852
28,86.3981,0.5044,0.40883,0.91978,0.98317,0.98035,0.995,0.88109,0.5218,0.39628,0.91429,0.0004654,0.0004654,0.0004654
29,89.4349,0.52825,0.3987,0.94146,0.98767,0.98045,0.995,0.87991,0.53661,0.37646,0.91575,0.0004456,0.0004456,0.0004456
30,92.3182,0.49574,0.37041,0.93831,0.98352,0.98028,0.995,0.87052,0.54672,0.38263,0.94115,0.0004258,0.0004258,0.0004258
31,95.1979,0.50155,0.37745,0.90015,0.98858,0.98306,0.995,0.87345,0.54266,0.3557,0.91601,0.000406,0.000406,0.000406
32,98.0135,0.49308,0.3716,0.91058,0.9881,0.98476,0.995,0.88218,0.53065,0.34776,0.90603,0.0003862,0.0003862,0.0003862
33,100.915,0.43864,0.34371,0.88887,0.98215,0.97917,0.99278,0.8854,0.52075,0.32758,0.9051,0.0003664,0.0003664,0.0003664
34,103.797,0.49447,0.36888,0.90558,0.99406,0.99054,0.995,0.88706,0.5288,0.31564,0.92049,0.0003466,0.0003466,0.0003466
35,106.979,0.46268,0.34533,0.89473,0.99377,1,0.995,0.88783,0.54143,0.31746,0.93764,0.0003268,0.0003268,0.0003268
36,110.228,0.44227,0.33006,0.88851,0.99058,0.99642,0.995,0.88975,0.50237,0.30631,0.92788,0.000307,0.000307,0.000307
37,113.399,0.43714,0.35313,0.89289,0.98746,1,0.995,0.88186,0.52453,0.30875,0.93384,0.0002872,0.0002872,0.0002872
38,116.167,0.42022,0.33281,0.87074,0.98606,0.98957,0.99441,0.88763,0.51808,0.30598,0.93166,0.0002674,0.0002674,0.0002674
39,118.95,0.44075,0.3144,0.89816,0.98284,0.9823,0.99441,0.8928,0.50806,0.32103,0.91883,0.0002476,0.0002476,0.0002476
40,121.83,0.40461,0.31015,0.87887,0.98499,0.98985,0.995,0.88376,0.53901,0.31059,0.93047,0.0002278,0.0002278,0.0002278
41,150.009,0.37117,0.3297,0.84105,0.9944,1,0.995,0.89025,0.52409,0.3198,0.91325,0.000208,0.000208,0.000208
42,152.87,0.41022,0.3303,0.86347,0.98571,0.99318,0.995,0.88933,0.52717,0.30287,0.92289,0.0001882,0.0001882,0.0001882
43,155.496,0.35614,0.31273,0.82403,0.9927,0.998,0.995,0.89663,0.52527,0.29864,0.9222,0.0001684,0.0001684,0.0001684
44,158.207,0.3519,0.3104,0.82736,0.98725,1,0.995,0.90095,0.50529,0.28619,0.91648,0.0001486,0.0001486,0.0001486
45,160.839,0.36831,0.29593,0.84146,0.99398,1,0.995,0.90505,0.49193,0.2726,0.90597,0.0001288,0.0001288,0.0001288
46,163.378,0.34781,0.29408,0.82502,0.99559,1,0.995,0.89856,0.49094,0.27333,0.90327,0.000109,0.000109,0.000109
47,166.017,0.34416,0.27946,0.82925,0.99641,1,0.995,0.90138,0.49402,0.27902,0.90087,8.92e-05,8.92e-05,8.92e-05
48,168.542,0.331,0.26624,0.83214,0.99364,1,0.995,0.90134,0.49135,0.27616,0.90165,6.94e-05,6.94e-05,6.94e-05
49,171.018,0.30147,0.25883,0.81736,0.99547,1,0.995,0.90677,0.48063,0.26327,0.90226,4.96e-05,4.96e-05,4.96e-05
50,173.53,0.32967,0.26435,0.83059,0.99405,1,0.995,0.91097,0.47706,0.2607,0.90327,2.98e-05,2.98e-05,2.98e-05
