epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.03201,0.8746,6.65059,1.20436,0.07754,0.0625,0.01887,0.01662,0.60843,9.29731,0.99813,4e-05,4e-05,4e-05
2,3.51199,0.89272,6.78274,1.25824,0.07159,0.0625,0.01503,0.01281,0.59568,9.53449,0.99431,9.802e-05,9.802e-05,9.802e-05
3,5.03591,0.88389,7.44535,1.19605,0.06717,0.0625,0.01337,0.01119,0.59313,9.59381,0.99011,0.000153664,0.000153664,0.000153664
4,6.54913,0.70898,4.91028,1.02836,0.6641,0.85417,0.75898,0.64984,0.64442,5.21041,0.83991,0.000206932,0.000206932,0.000206932
5,8.22436,0.67266,2.43015,0.93118,0.99724,1,0.995,0.83968,0.62142,3.3312,0.83572,0.000257824,0.000257824,0.000257824
6,9.94657,0.64149,1.74507,0.91108,0.99797,1,0.995,0.81732,0.69081,3.59736,0.8444,0.00030634,0.00030634,0.00030634
7,11.4664,0.73177,1.43806,0.97786,0.9597,0.99246,0.99173,0.767,0.75171,3.52723,0.88058,0.00035248,0.00035248,0.00035248
8,12.8715,0.632,1.10041,0.90564,0.92706,0.95833,0.96755,0.81052,0.66673,2.97704,0.85772,0.000396244,0.000396244,0.000396244
9,14.2882,0.61579,0.86384,0.91435,1,0.97206,0.99346,0.86185,0.59025,2.3364,0.8427,0.000437632,0.000437632,0.000437632
10,15.6612,0.67238,0.78008,0.916,0.86967,0.97323,0.95957,0.77941,0.73432,2.7349,0.9368,0.000476644,0.000476644,0.000476644
11,17.0698,0.64236,0.67669,0.92393,0.81229,0.6875,0.82026,0.68848,0.67275,3.01101,0.9099,0.00051328,0.00051328,0.00051328
12,18.5196,0.57763,0.60027,0.9072,1,0.41511,0.60809,0.50902,0.65387,3.02689,0.91327,0.00054754,0.00054754,0.00054754
13,19.995,0.60633,0.55925,0.94791,0.98184,0.58333,0.70596,0.58307,0.73962,3.3277,1.03376,0.000579424,0.000579424,0.000579424
14,21.4153,0.63652,0.5691,0.96482,0.41121,0.70833,0.36387,0.30513,0.72186,4.5683,1.10225,0.000608932,0.000608932,0.000608932
15,22.8207,0.61522,0.5307,0.94638,0.31658,0.70833,0.30083,0.24136,0.76968,4.93526,1.11236,0.000636064,0.000636064,0.000636064
16,24.276,0.56548,0.49693,0.9316,0.67081,0.80669,0.65728,0.51639,0.69773,2.88076,1.02393,0.00066082,0.00066082,0.00066082
17,25.678,0.6009,0.47746,0.93887,0.74633,0.875,0.87544,0.66498,0.81848,1.98537,1.21031,0.0006832,0.0006832,0.0006832
18,27.1654,0.59077,0.47144,0.95395,0.98105,0.95833,0.99089,0.81139,0.72252,2.52271,1.12579,0.000703204,0.000703204,0.000703204
19,28.5866,0.56866,0.45226,0.92596,0.70549,0.8125,0.84188,0.6458,0.67313,3.7436,1.06173,0.000720832,0.000720832,0.000720832
20,30.036,0.56502,0.43929,0.93705,0.99215,1,0.995,0.81589,0.67216,1.94327,1.04927,0.000736084,0.000736084,0.000736084
21,31.5246,0.54295,0.41663,0.90574,0.95114,0.97917,0.98742,0.82023,0.65972,2.4174,1.09017,0.00074896,0.00074896,0.00074896
22,32.8814,0.53674,0.42215,0.93531,0.93515,0.97917,0.98494,0.81782,0.64984,1.80248,1.07726,0.00075946,0.00075946,0.00075946
23,34.2367,0.53101,0.4367,0.92648,0.89738,0.91095,0.9668,0.77851,0.70653,2.06295,1.05333,0.000767584,0.000767584,0.000767584
24,35.5204,0.54356,0.42165,0.93302,0.96408,0.9375,0.98218,0.83102,0.60401,1.55635,0.97527,0.000773332,0.000773332,0.000773332
25,36.8904,0.53933,0.41339,0.91092,0.97435,1,0.99296,0.83584,0.5635,1.06632,0.99492,0.000776704,0.000776704,0.000776704
26,38.3766,0.55147,0.41714,0.91535,0.9752,1,0.995,0.85304,0.59151,0.86187,1.02777,0.0007777,0.0007777,0.0007777
27,39.9437,0.49031,0.38977,0.89501,0.97954,0.99742,0.99418,0.85781,0.60267,0.78749,1.0137,0.00077632,0.00077632,0.00077632
28,41.3113,0.50982,0.36897,0.90389,0.97884,0.96399,0.99228,0.8381,0.61339,0.81249,1.01003,0.000772564,0.000772564,0.000772564
29,42.7245,0.51391,0.37692,0.94355,0.95169,0.97917,0.98499,0.83331,0.55938,0.9588,0.95062,0.000766432,0.000766432,0.000766432
30,43.9981,0.43252,0.33877,0.87545,0.94138,0.97917,0.9896,0.8908,0.51409,0.81133,0.92474,0.000757924,0.000757924,0.000757924
31,45.3703,0.43905,0.36318,0.87255,0.9944,1,0.995,0.86433,0.56464,0.6234,0.9453,0.00074704,0.00074704,0.00074704
32,46.6687,0.48781,0.36694,0.91316,0.98929,1,0.995,0.88235,0.54158,0.60179,0.91498,0.00073378,0.00073378,0.00073378
33,48.0269,0.46347,0.34953,0.89702,0.98694,1,0.995,0.89124,0.50918,0.6191,0.93027,0.000718144,0.000718144,0.000718144
34,49.4722,0.45583,0.33481,0.87345,0.99029,1,0.995,0.86825,0.51359,0.60897,0.949,0.0006932,0.0006932,0.0006932
35,51.0946,0.44164,0.3386,0.87711,0.99604,1,0.995,0.87877,0.50384,0.47981,0.94559,0.0006536,0.0006536,0.0006536
36,52.5217,0.44891,0.33379,0.90289,0.99763,1,0.995,0.88359,0.5013,0.43566,0.94296,0.000614,0.000614,0.000614
37,53.985,0.43109,0.32586,0.87167,0.99819,1,0.995,0.90415,0.46546,0.36726,0.89327,0.0005744,0.0005744,0.0005744
38,55.3186,0.4015,0.30665,0.84583,0.99828,1,0.995,0.90253,0.46578,0.35339,0.88736,0.0005348,0.0005348,0.0005348
39,56.6311,0.40758,0.3244,0.87918,0.99789,1,0.995,0.90346,0.46411,0.3667,0.87566,0.0004952,0.0004952,0.0004952
40,57.9413,0.4168,0.32157,0.86716,0.99391,1,0.995,0.89785,0.46147,0.36208,0.86635,0.0004556,0.0004556,0.0004556
41,85.5334,0.38263,0.34273,0.82766,0.97958,1,0.995,0.89478,0.45857,0.3439,0.86377,0.000416,0.000416,0.000416
42,86.9809,0.3764,0.32512,0.83289,0.97813,1,0.99459,0.89716,0.46277,0.34267,0.86811,0.0003764,0.0003764,0.0003764
43,88.514,0.36824,0.31051,0.8269,1,0.99947,0.995,0.90378,0.4494,0.32099,0.86522,0.0003368,0.0003368,0.0003368
44,89.8873,0.35475,0.30329,0.83597,0.99834,1,0.995,0.90618,0.43741,0.31122,0.85647,0.0002972,0.0002972,0.0002972
45,91.2379,0.33205,0.28863,0.8383,0.99876,1,0.995,0.91007,0.42514,0.29464,0.84844,0.0002576,0.0002576,0.0002576
46,92.6604,0.33747,0.28201,0.80195,0.99882,1,0.995,0.91739,0.41132,0.28787,0.84714,0.000218,0.000218,0.000218
47,94.0387,0.29676,0.27651,0.81629,0.99882,1,0.995,0.90831,0.40433,0.29217,0.84198,0.0001784,0.0001784,0.0001784
48,95.368,0.29974,0.27988,0.78595,0.9988,1,0.995,0.90512,0.40787,0.28785,0.84266,0.0001388,0.0001388,0.0001388
49,96.8324,0.32422,0.28071,0.83499,0.99886,1,0.995,0.91579,0.40394,0.28394,0.84183,9.92e-05,9.92e-05,9.92e-05
50,98.2582,0.27108,0.25563,0.7635,0.99888,1,0.995,0.91919,0.39791,0.27462,0.84101,5.96e-05,5.96e-05,5.96e-05
